id,home_team_player11,home_team_player10,home_team_player9,home_team_player8,home_team_player7,home_team_player6,home_team_player5,home_team_player4,home_team_player3,home_team_player2,home_team_player1,home_team_score,away_team_score,away_team_player1,away_team_player2,away_team_player3,away_team_player4,away_team_player5,away_team_player6,away_team_player7,away_team_player8,away_team_player9,away_team_player10,away_team_player11
11891,18 マルキーニョス FW,13 興梠 慎三 FW,8 野沢 拓也 MF,10 本山 雅志 MF,40 小笠原 満男 MF,6 中田 浩二 MF,7 新井場 徹 DF,19 伊野波 雅彦 DF,3 岩政 大樹 DF,2 内田 篤人 DF,21 曽ヶ端 準 GK,2,0,1 清水 健太 GK,20 小林 亮 DF,3 レオナルド DF,34 西河 翔吾 DF,13 石川 竜也 DF,6 宮崎 光平 MF,19 秋葉 勝 MF,17 佐藤 健太郎 MF,7 宮沢 克行 MF,15 長谷川 悠 FW,9 古橋 達弥 FW
11892,34 レナチーニョ FW,10 ジュニーニョ FW,9 鄭 大世 FW,14 中村 憲剛 MF,29 谷口 博之 MF,18 横山 知伸 MF,26 村上 和弘 DF,2 伊藤 宏樹 DF,17 菊地 光将 DF,4 井川 祐輔 DF,1 川島 永嗣 GK,3,2,1 岡本 昌弘 GK,13 和田 拓三 DF,15 福元 洋平 DF,4 ボスナー DF,2 坂本 將貴 DF,10 工藤 浩平 MF,8 中後 雅喜 MF,6 下村 東美 MF,16 谷澤 達也 FW,9 深井 正樹 FW,18 巻 誠一郎 FW
11893,9 ブルザノビッチ FW,11 玉田 圭司 FW,38 三都主 アレサンドロ MF,14 吉村 圭司 MF,7 中村 直志 MF,10 小川 佳純 MF,6 阿部 翔平 DF,5 増川 隆洋 DF,4 吉田 麻也 DF,32 田中 隼磨 DF,21 西村 弘司 GK,1,0,1 榎本 達也 GK,25 石櫃 洋祐 DF,2 小林 久晃 DF,4 北本 久仁衛 DF,26 松岡 亮輔 DF,17 吉田 孝行 MF,6 金 南一 MF,14 宮本 恒靖 MF,27 岸田 裕樹 MF,10 ボッティ FW,21 茂木 弘人 FW
11894,39 ペドロ ジュニオール FW,9 ルーカス FW,7 遠藤 保仁 MF,10 二川 孝広 MF,17 明神 智和 MF,27 橋本 英郎 MF,13 安田 理大 DF,5 山口 智 DF,4 高木 和道 DF,21 加地 亮 DF,22 藤ヶ谷 陽介 GK,4,1,21 水谷 雄一 GK,24 増嶋 竜也 DF,4 水本 裕貴 DF,14 李  正秀 DF,8 中谷 勇介 DF,15 中山 博貴 MF,3 シジクレイ MF,7 佐藤 勇人 MF,26 角田 誠 MF,10 ディエゴ FW,13 柳沢 敦 FW
11895,9 古橋 達弥 FW,15 長谷川 悠 FW,7 宮沢 克行 MF,17 佐藤 健太郎 MF,19 秋葉 勝 MF,6 宮崎 光平 MF,13 石川 竜也 DF,23 石井 秀典 DF,34 西河 翔吾 DF,14 宮本 卓也 DF,1 清水 健太 GK,0,0,21 江角 浩司 GK,4 波戸 康広 DF,6 片岡 洋介 DF,3 マト DF,5 冨田 大介 DF,26 青木 拓矢 MF,17 橋本 早十 MF,25 土岐田 洸平 MF,7 内田 智也 MF,9 石原 直樹 FW,13 藤田 祥史 FW
11896,17 エジミウソン FW,11 田中 達也 FW,19 高原 直泰 FW,10 ポンテ MF,13 鈴木 啓太 MF,22 阿部 勇樹 MF,3 細貝 萌 DF,4 田中 マルクス闘莉王 DF,2 坪井 慶介 DF,14 平川 忠亮 DF,1 山岸 範宏 GK,3,2,31 八田 直樹 GK,5 駒野 友一 DF,3 茶野 隆行 DF,6 那須 大亮 DF,28 船谷 圭祐 DF,10 成岡 翔 MF,23 山本 康裕 MF,11 西 紀寛 MF,14 村井 慎二 MF,18 前田 遼一 FW,33 イ グノ FW
11897,11 矢野 貴章 FW,16 大島 秀夫 FW,7 松下 年宏 MF,10 マルシオ リシャルデス MF,15 本間 勲 MF,14 三門 雄大 MF,28 松尾 直人 DF,6 永田 充 DF,5 千代反田 充 DF,17 内田 潤 DF,1 北野 貴之 GK,0,1,33 菅野 孝憲 GK,13 小林 祐三 DF,6 パク ドンヒョク DF,3 近藤 直也 DF,22 橋本 和 DF,25 村上 佑介 MF,7 大谷 秀和 MF,28 栗澤 僚一 MF,27 大津 祐樹 MF,10 フランサ FW,8 澤 昌克 FW
11898,23 岡崎 慎司 FW,11 原 一樹 FW,6 マルコス パウロ MF,17 山本 真希 MF,7 伊東 輝悦 MF,8 枝村 匠馬 MF,4 太田 宏介 DF,2 児玉 新 DF,5 岩下 敬輔 DF,25 市川 大祐 DF,21 西部 洋平 GK,0,2,22 藤ヶ谷 陽介 GK,21 加地 亮 DF,2 中澤 聡太 DF,5 山口 智 DF,4 高木 和道 DF,17 明神 智和 MF,7 遠藤 保仁 MF,10 二川 孝広 MF,16 佐々木 勇人 MF,9 ルーカス FW,39 ペドロ ジュニオール FW
11899,10 ディエゴ FW,13 柳沢 敦 FW,26 角田 誠 MF,16 安藤 淳 MF,7 佐藤 勇人 MF,11 林 丈統 MF,19 森下 俊 DF,14 李  正秀 DF,4 水本 裕貴 DF,24 増嶋 竜也 DF,21 水谷 雄一 GK,0,1,21 曽ヶ端 準 GK,2 内田 篤人 DF,4 大岩 剛 DF,19 伊野波 雅彦 DF,7 新井場 徹 DF,6 中田 浩二 MF,40 小笠原 満男 MF,10 本山 雅志 MF,8 野沢 拓也 MF,9 田代 有三 FW,13 興梠 慎三 FW
11900,21 茂木 弘人 FW,27 岸田 裕樹 FW,10 ボッティ MF,14 宮本 恒靖 MF,18 田中 英雄 MF,17 吉田 孝行 MF,26 松岡 亮輔 DF,4 北本 久仁衛 DF,2 小林 久晃 DF,5 河本 裕之 DF,1 榎本 達也 GK,2,2,1 榎本 哲也 GK,5 田中 裕介 DF,7 栗原 勇蔵 DF,22 中澤 佑二 DF,13 小宮山 尊信 DF,3 松田 直樹 MF,6 河合 竜二 MF,18 清水 範久 MF,14 狩野 健太 MF,10 山瀬 功治 FW,9 渡邉 千真 FW
11901,11 佐藤 寿人 FW,15 髙萩 洋次郎 MF,10 柏木 陽介 MF,17 服部 公太 MF,25 髙柳 一誠 MF,8 森﨑 和幸 MF,24 森脇 良太 MF,19 盛田 剛平 DF,35 中島 浩司 DF,5 槙野 智章 DF,34 中林 洋次 GK,0,0,1 楢﨑 正剛 GK,4 吉田 麻也 DF,3 バヤリッツァ DF,5 増川 隆洋 DF,6 阿部 翔平 DF,10 小川 佳純 MF,7 中村 直志 MF,14 吉村 圭司 MF,38 三都主 アレサンドロ MF,9 ブルザノビッチ FW,16 ケネディ FW
11902,18 巻 誠一郎 FW,11 新居 辰基 FW,16 谷澤 達也 MF,22 米倉 恒貴 MF,8 中後 雅喜 MF,10 工藤 浩平 MF,5 アレックス DF,15 福元 洋平 DF,3 斎藤 大輔 DF,2 坂本 將貴 DF,1 岡本 昌弘 GK,2,1,20 権田 修一 GK,33 椋原 健太 DF,4 ブルーノ クアドロス DF,6 今野 泰幸 DF,25 徳永 悠平 DF,28 米本 拓司 MF,22 羽生 直剛 MF,14 中村 北斗 MF,40 鈴木 達也 MF,24 赤嶺 真吾 FW,13 平山 相太 FW
11903,17 フェルナンジーニョ FW,8 金崎 夢生 FW,36 菊地 直哉 MF,28 清武 弘嗣 MF,20 高橋 大輔 MF,14 家長 昭博 MF,5 エジミウソン MF,33 藤田 義明 DF,22 上本 大海 DF,2 坪内 秀介 DF,1 西川 周作 GK,1,0,1 川島 永嗣 GK,4 井川 祐輔 DF,17 菊地 光将 DF,2 伊藤 宏樹 DF,26 村上 和弘 DF,18 横山 知伸 MF,29 谷口 博之 MF,14 中村 憲剛 MF,9 鄭 大世 FW,10 ジュニーニョ FW,34 レナチーニョ FW
11904,18 マルキーニョス FW,13 興梠 慎三 FW,8 野沢 拓也 MF,10 本山 雅志 MF,40 小笠原 満男 MF,6 中田 浩二 MF,7 新井場 徹 DF,19 伊野波 雅彦 DF,3 岩政 大樹 DF,2 内田 篤人 DF,21 曽ヶ端 準 GK,5,1,22 藤ヶ谷 陽介 GK,21 加地 亮 DF,2 中澤 聡太 DF,5 山口 智 DF,4 高木 和道 DF,17 明神 智和 MF,7 遠藤 保仁 MF,10 二川 孝広 MF,16 佐々木 勇人 MF,9 ルーカス FW,39 ペドロ ジュニオール FW
11905,16 ラファエル FW,9 石原 直樹 FW,7 内田 智也 MF,11 藤本 主税 MF,17 橋本 早十 MF,26 青木 拓矢 MF,5 冨田 大介 DF,3 マト DF,6 片岡 洋介 DF,4 波戸 康広 DF,21 江角 浩司 GK,1,1,33 菅野 孝憲 GK,13 小林 祐三 DF,6 パク ドンヒョク DF,3 近藤 直也 DF,22 橋本 和 DF,25 村上 佑介 MF,28 栗澤 僚一 MF,7 大谷 秀和 MF,27 大津 祐樹 MF,10 フランサ FW,8 澤 昌克 FW
11906,40 鈴木 達也 FW,24 赤嶺 真吾 FW,27 田邉 草民 MF,14 中村 北斗 MF,28 米本 拓司 MF,22 羽生 直剛 MF,5 長友 佑都 DF,15 平松 大志 DF,6 今野 泰幸 DF,25 徳永 悠平 DF,20 権田 修一 GK,1,0,1 榎本 達也 GK,25 石櫃 洋祐 DF,4 北本 久仁衛 DF,5 河本 裕之 DF,15 内山 俊彦 DF,7 朴 康造 MF,14 宮本 恒靖 MF,6 金 南一 MF,10 ボッティ MF,21 茂木 弘人 FW,50 大久保 嘉人 FW
11907,34 レナチーニョ FW,10 ジュニーニョ FW,9 鄭 大世 FW,14 中村 憲剛 MF,18 横山 知伸 MF,6 田坂 祐介 MF,26 村上 和弘 DF,2 伊藤 宏樹 DF,13 寺田 周平 DF,19 森 勇介 DF,1 川島 永嗣 GK,1,0,1 北野 貴之 GK,17 内田 潤 DF,5 千代反田 充 DF,6 永田 充 DF,28 松尾 直人 DF,14 三門 雄大 MF,15 本間 勲 MF,20 曺 永哲 MF,7 松下 年宏 MF,16 大島 秀夫 FW,11 矢野 貴章 FW
11908,33 イ グノ FW,18 前田 遼一 FW,28 船谷 圭祐 MF,11 西 紀寛 MF,27 上田 康太 MF,23 山本 康裕 MF,16 金沢 浄 DF,4 大井 健太郎 DF,6 那須 大亮 DF,5 駒野 友一 DF,31 八田 直樹 GK,0,1,34 中林 洋次 GK,5 槙野 智章 DF,35 中島 浩司 DF,19 盛田 剛平 DF,24 森脇 良太 MF,8 森﨑 和幸 MF,15 髙萩 洋次郎 MF,17 服部 公太 MF,10 柏木 陽介 MF,7 森﨑 浩司 MF,11 佐藤 寿人 FW
11909,16 ケネディ FW,11 玉田 圭司 FW,9 ブルザノビッチ MF,14 吉村 圭司 MF,7 中村 直志 MF,10 小川 佳純 MF,6 阿部 翔平 DF,5 増川 隆洋 DF,3 バヤリッツァ DF,32 田中 隼磨 DF,1 楢﨑 正剛 GK,2,0,1 清水 健太 GK,14 宮本 卓也 DF,34 西河 翔吾 DF,23 石井 秀典 DF,13 石川 竜也 DF,6 宮崎 光平 MF,5 渡辺 匠 MF,17 佐藤 健太郎 MF,7 宮沢 克行 MF,15 長谷川 悠 FW,9 古橋 達弥 FW
11910,13 柳沢 敦 FW,10 ディエゴ FW,16 安藤 淳 MF,26 角田 誠 MF,7 佐藤 勇人 MF,11 林 丈統 MF,19 森下 俊 DF,14 李  正秀 DF,4 水本 裕貴 DF,6 染谷 悠太 DF,21 水谷 雄一 GK,1,0,1 山岸 範宏 GK,14 平川 忠亮 DF,2 坪井 慶介 DF,4 田中 マルクス闘莉王 DF,3 細貝 萌 DF,22 阿部 勇樹 MF,13 鈴木 啓太 MF,10 ポンテ MF,19 高原 直泰 FW,11 田中 達也 FW,17 エジミウソン FW
11911,7 ネット バイアーノ FW,11 新居 辰基 FW,16 谷澤 達也 MF,22 米倉 恒貴 MF,10 工藤 浩平 MF,6 下村 東美 MF,5 アレックス DF,15 福元 洋平 DF,3 斎藤 大輔 DF,2 坂本 將貴 DF,1 岡本 昌弘 GK,0,2,1 西川 周作 GK,2 坪内 秀介 DF,22 上本 大海 DF,33 藤田 義明 DF,5 エジミウソン MF,14 家長 昭博 MF,20 高橋 大輔 MF,28 清武 弘嗣 MF,36 菊地 直哉 MF,8 金崎 夢生 FW,17 フェルナンジーニョ FW
11912,10 山瀬 功治 FW,9 渡邉 千真 FW,17 兵藤 慎剛 MF,18 清水 範久 MF,6 河合 竜二 MF,3 松田 直樹 MF,13 小宮山 尊信 DF,22 中澤 佑二 DF,7 栗原 勇蔵 DF,5 田中 裕介 DF,1 榎本 哲也 GK,2,0,21 西部 洋平 GK,25 市川 大祐 DF,5 岩下 敬輔 DF,2 児玉 新 DF,4 太田 宏介 DF,16 本田 拓也 MF,17 山本 真希 MF,10 藤本 淳吾 MF,13 兵働 昭弘 MF,23 岡崎 慎司 FW,20 長沢 駿 FW
11913,9 古橋 達弥 FW,15 長谷川 悠 FW,7 宮沢 克行 MF,17 佐藤 健太郎 MF,5 渡辺 匠 MF,29 廣瀬 智靖 MF,13 石川 竜也 DF,23 石井 秀典 DF,34 西河 翔吾 DF,26 山田 拓巳 DF,1 清水 健太 GK,0,0,21 飯倉 大樹 GK,35 天野 貴史 DF,7 栗原 勇蔵 DF,22 中澤 佑二 DF,13 小宮山 尊信 DF,30 小椋 祥平 MF,17 兵藤 慎剛 MF,29 長谷川 アーリアジャスール MF,20 水沼 宏太 MF,9 渡邉 千真 FW,10 山瀬 功治 FW
11914,17 エジミウソン FW,11 田中 達也 FW,24 原口 元気 FW,34 山田 直輝 MF,13 鈴木 啓太 MF,22 阿部 勇樹 MF,14 平川 忠亮 DF,4 田中 マルクス闘莉王 DF,2 坪井 慶介 DF,6 山田 暢久 DF,1 山岸 範宏 GK,0,1,21 曽ヶ端 準 GK,2 内田 篤人 DF,3 岩政 大樹 DF,19 伊野波 雅彦 DF,7 新井場 徹 DF,6 中田 浩二 MF,40 小笠原 満男 MF,10 本山 雅志 MF,8 野沢 拓也 MF,13 興梠 慎三 FW,18 マルキーニョス FW
11915,8 澤 昌克 FW,10 フランサ FW,27 大津 祐樹 MF,7 大谷 秀和 MF,28 栗澤 僚一 MF,34 杉山 浩太 MF,22 橋本 和 DF,3 近藤 直也 DF,6 パク ドンヒョク DF,13 小林 祐三 DF,33 菅野 孝憲 GK,2,3,1 川島 永嗣 GK,19 森 勇介 DF,13 寺田 周平 DF,2 伊藤 宏樹 DF,26 村上 和弘 DF,6 田坂 祐介 MF,18 横山 知伸 MF,14 中村 憲剛 MF,9 鄭 大世 FW,10 ジュニーニョ FW,34 レナチーニョ FW
11916,11 矢野 貴章 FW,8 エヴェルトン サントス FW,7 松下 年宏 MF,20 曺 永哲 MF,3 千葉 和彦 MF,14 三門 雄大 MF,29 ジウトン DF,6 永田 充 DF,5 千代反田 充 DF,17 内田 潤 DF,1 北野 貴之 GK,1,1,20 権田 修一 GK,25 徳永 悠平 DF,15 平松 大志 DF,6 今野 泰幸 DF,5 長友 佑都 DF,10 梶山 陽平 MF,28 米本 拓司 MF,14 中村 北斗 MF,22 羽生 直剛 MF,40 鈴木 達也 FW,13 平山 相太 FW
11917,20 長沢 駿 FW,23 岡崎 慎司 FW,10 藤本 淳吾 MF,17 山本 真希 MF,16 本田 拓也 MF,13 兵働 昭弘 MF,4 太田 宏介 DF,2 児玉 新 DF,26 平岡 康裕 DF,25 市川 大祐 DF,29 山本 海人 GK,0,0,1 楢﨑 正剛 GK,32 田中 隼磨 DF,3 バヤリッツァ DF,4 吉田 麻也 DF,6 阿部 翔平 DF,10 小川 佳純 MF,13 山口 慶 MF,38 三都主 アレサンドロ MF,8 マギヌン MF,11 玉田 圭司 FW,16 ケネディ FW
11918,30 山崎 雅人 FW,18 チョ ジェジン FW,16 佐々木 勇人 MF,10 二川 孝広 MF,7 遠藤 保仁 MF,17 明神 智和 MF,4 高木 和道 DF,5 山口 智 DF,2 中澤 聡太 DF,21 加地 亮 DF,22 藤ヶ谷 陽介 GK,2,0,1 岡本 昌弘 GK,2 坂本 將貴 DF,15 福元 洋平 DF,3 斎藤 大輔 DF,5 アレックス DF,10 工藤 浩平 MF,8 中後 雅喜 MF,22 米倉 恒貴 MF,9 深井 正樹 FW,16 谷澤 達也 FW,11 新居 辰基 FW
11919,50 大久保 嘉人 FW,21 茂木 弘人 FW,17 吉田 孝行 MF,6 金 南一 MF,18 田中 英雄 MF,7 朴 康造 MF,26 松岡 亮輔 DF,4 北本 久仁衛 DF,2 小林 久晃 DF,25 石櫃 洋祐 DF,1 榎本 達也 GK,1,1,21 吉原 慎也 GK,5 駒野 友一 DF,6 那須 大亮 DF,4 大井 健太郎 DF,16 金沢 浄 DF,27 上田 康太 MF,19 岡田 隆 MF,10 成岡 翔 MF,28 船谷 圭祐 MF,18 前田 遼一 FW,33 イ グノ FW
11920,11 佐藤 寿人 FW,7 森﨑 浩司 MF,15 髙萩 洋次郎 MF,17 服部 公太 MF,10 柏木 陽介 MF,8 森﨑 和幸 MF,16 李 漢宰 MF,19 盛田 剛平 DF,35 中島 浩司 DF,5 槙野 智章 DF,34 中林 洋次 GK,4,1,21 水谷 雄一 GK,6 染谷 悠太 DF,4 水本 裕貴 DF,19 森下 俊 DF,14 李  正秀 DF,11 林 丈統 MF,7 佐藤 勇人 MF,16 安藤 淳 MF,26 角田 誠 MF,10 ディエゴ FW,13 柳沢 敦 FW
11921,17 フェルナンジーニョ FW,13 高松 大樹 FW,36 菊地 直哉 MF,28 清武 弘嗣 MF,20 高橋 大輔 MF,14 家長 昭博 MF,5 エジミウソン MF,33 藤田 義明 DF,22 上本 大海 DF,2 坪内 秀介 DF,1 西川 周作 GK,1,1,21 江角 浩司 GK,4 波戸 康広 DF,6 片岡 洋介 DF,3 マト DF,5 冨田 大介 DF,23 金澤 慎 MF,17 橋本 早十 MF,25 土岐田 洸平 MF,7 内田 智也 MF,9 石原 直樹 FW,13 藤田 祥史 FW
12544,18 新居 辰基 FW,9 田原 豊 FW,17 馬場 賢治 FW,8 坂本 紘司 MF,7 寺川 能人 MF,21 永田 亮太 MF,30 島村 毅 DF,6 村松 大輔 DF,3 ジャーン DF,14 阪田 章裕 DF,1 野澤 洋輔 GK,1,1,1 清水 健太 GK,14 宮本 卓也 DF,4 西河 翔吾 DF,3 石井 秀典 DF,13 石川 竜也 DF,9 古橋 達弥 MF,19 秋葉 勝 MF,17 佐藤 健太郎 MF,7 宮沢 克行 MF,15 長谷川 悠 FW,10 田代 有三 FW
12545,19 荒田 智之 FW,33 イ グノ FW,28 船谷 圭祐 MF,11 西 紀寛 MF,10 成岡 翔 MF,6 那須 大亮 MF,14 パク チュホ DF,13 イ ガンジン DF,2 加賀 健一 DF,5 駒野 友一 DF,21 八田 直樹 GK,0,1,16 林 卓人 GK,25 菅井 直樹 DF,6 エリゼウ DF,3 渡辺 広大 DF,23 田村 直也 DF,17 富田 晋伍 MF,7 千葉 直樹 MF,11 関口 訓充 MF,10 梁 勇基 MF,9 中原 貴之 FW,13 中島 裕希 FW
12546,13 平山 相太 FW,11 鈴木 達也 FW,8 松下 年宏 MF,22 羽生 直剛 MF,2 徳永 悠平 MF,14 中村 北斗 MF,5 長友 佑都 DF,6 今野 泰幸 DF,3 森重 真人 DF,33 椋原 健太 DF,20 権田 修一 GK,1,0,21 飯倉 大樹 GK,2 藤田 優人 DF,22 中澤 佑二 DF,30 小椋 祥平 DF,5 田中 裕介 DF,7 兵藤 慎剛 MF,24 金井 貢史 MF,14 狩野 健太 MF,10 山瀬 功治 MF,8 長谷川 アーリアジャスール FW,9 渡邉 千真 FW
12547,11 佐藤 寿人 FW,7 森﨑 浩司 MF,15 髙萩 洋次郎 MF,35 中島 浩司 MF,8 森﨑 和幸 MF,17 服部 公太 MF,16 山岸 智 MF,5 槙野 智章 DF,2 ストヤノフ DF,24 森脇 良太 DF,21 西川 周作 GK,1,1,21 西部 洋平 GK,25 市川 大祐 DF,5 岩下 敬輔 DF,33 ボスナー DF,2 児玉 新 DF,30 小野 伸二 MF,16 本田 拓也 MF,13 兵働 昭弘 MF,23 岡崎 慎司 FW,18 ヨンセン FW,10 藤本 淳吾 FW
12548,18 マルキーニョス FW,13 興梠 慎三 FW,11 フェリペ ガブリエル MF,8 野沢 拓也 MF,6 中田 浩二 MF,40 小笠原 満男 MF,7 新井場 徹 DF,19 伊野波 雅彦 DF,3 岩政 大樹 DF,2 内田 篤人 DF,21 曽ヶ端 準 GK,2,0,1 山岸 範宏 GK,14 平川 忠亮 DF,6 山田 暢久 DF,2 坪井 慶介 DF,35 宇賀神 友弥 DF,22 阿部 勇樹 MF,3 細貝 萌 MF,10 ポンテ MF,15 エスクデロ セルヒオ MF,8 柏木 陽介 MF,17 エジミウソン FW
12549,9 鄭 大世 FW,34 レナチーニョ FW,7 黒津 勝 FW,6 田坂 祐介 MF,29 谷口 博之 MF,20 稲本 潤一 MF,8 小宮山 尊信 DF,2 伊藤 宏樹 DF,13 寺田 周平 DF,19 森 勇介 DF,1 川島 永嗣 GK,2,1,1 黒河 貴矢 GK,17 内田 潤 DF,3 千葉 和彦 DF,6 永田 充 DF,26 中野 洋司 DF,14 三門 雄大 MF,15 本間 勲 MF,9 曺 永哲 MF,20 河原 和寿 MF,16 大島 秀夫 FW,11 矢野 貴章 FW
12550,18 チョ ジェジン FW,9 ルーカス FW,10 二川 孝広 MF,7 遠藤 保仁 MF,17 明神 智和 MF,27 橋本 英郎 MF,13 安田 理大 DF,4 高木 和道 DF,2 中澤 聡太 DF,21 加地 亮 DF,1 藤ヶ谷 陽介 GK,1,2,1 楢﨑 正剛 GK,32 田中 隼磨 DF,4 田中 マルクス闘莉王 DF,5 増川 隆洋 DF,6 阿部 翔平 DF,10 小川 佳純 MF,14 吉村 圭司 MF,8 マギヌン MF,25 金崎 夢生 FW,16 ケネディ FW,11 玉田 圭司 FW
12551,21 茂木 弘人 FW,11 ポポ FW,17 吉田 孝行 MF,7 朴 康造 MF,8 松岡 亮輔 MF,6 エジミウソン MF,2 小林 久晃 DF,5 河本 裕之 DF,4 北本 久仁衛 DF,25 石櫃 洋祐 DF,1 榎本 達也 GK,2,0,21 水谷 雄一 GK,24 増嶋 竜也 DF,5 郭 泰輝 DF,4 水本 裕貴 DF,17 中村 太亮 DF,15 中山 博貴 MF,7 片岡 洋介 MF,3 チエゴ MF,11 鈴木 慎吾 MF,13 柳沢 敦 FW,10 ディエゴ FW
12552,10 ラファエル FW,9 石原 直樹 FW,17 橋本 早十 MF,11 藤本 主税 MF,5 アン ヨンハ MF,23 金澤 慎 MF,26 村上 和弘 DF,3 マト DF,4 深谷 友基 DF,32 杉山 新 DF,1 北野 貴之 GK,3,0,1 松井 謙弥 GK,2 羽田 憲司 DF,3 茂庭 照幸 DF,22 上本 大海 DF,20 高橋 大輔 MF,6 アマラウ MF,10 マルチネス MF,16 尾亦 弘友希 MF,8 香川 真司 MF,7 乾 貴士 FW,9 アドリアーノ FW
12553,9 渡邉 千真 FW,8 長谷川 アーリアジャスール FW,10 山瀬 功治 MF,25 中村 俊輔 MF,7 兵藤 慎剛 MF,30 小椋 祥平 MF,5 田中 裕介 DF,4 栗原 勇蔵 DF,22 中澤 佑二 DF,32 波戸 康広 DF,21 飯倉 大樹 GK,3,0,1 野澤 洋輔 GK,14 阪田 章裕 DF,6 村松 大輔 DF,3 ジャーン DF,30 島村 毅 DF,21 永田 亮太 MF,7 寺川 能人 MF,8 坂本 紘司 MF,17 馬場 賢治 FW,9 田原 豊 FW,18 新居 辰基 FW
12554,11 矢野 貴章 FW,16 大島 秀夫 FW,20 河原 和寿 MF,9 曺 永哲 MF,15 本間 勲 MF,14 三門 雄大 MF,24 酒井 高徳 DF,6 永田 充 DF,3 千葉 和彦 DF,17 内田 潤 DF,1 黒河 貴矢 GK,1,1,21 八田 直樹 GK,5 駒野 友一 DF,2 加賀 健一 DF,13 イ ガンジン DF,14 パク チュホ DF,6 那須 大亮 MF,10 成岡 翔 MF,11 西 紀寛 MF,28 船谷 圭祐 MF,18 前田 遼一 FW,33 イ グノ FW
12555,10 藤本 淳吾 FW,18 ヨンセン FW,23 岡崎 慎司 FW,13 兵働 昭弘 MF,16 本田 拓也 MF,30 小野 伸二 MF,2 児玉 新 DF,33 ボスナー DF,5 岩下 敬輔 DF,25 市川 大祐 DF,21 西部 洋平 GK,3,0,1 清水 健太 GK,14 宮本 卓也 DF,4 西河 翔吾 DF,3 石井 秀典 DF,13 石川 竜也 DF,9 古橋 達弥 MF,19 秋葉 勝 MF,17 佐藤 健太郎 MF,7 宮沢 克行 MF,15 長谷川 悠 FW,10 田代 有三 FW
12556,13 中島 裕希 FW,9 中原 貴之 FW,10 梁 勇基 MF,11 関口 訓充 MF,7 千葉 直樹 MF,17 富田 晋伍 MF,27 朴 柱成 DF,3 渡辺 広大 DF,6 エリゼウ DF,25 菅井 直樹 DF,16 林 卓人 GK,3,1,1 北野 貴之 GK,32 杉山 新 DF,4 深谷 友基 DF,3 マト DF,26 村上 和弘 DF,23 金澤 慎 MF,5 アン ヨンハ MF,11 藤本 主税 MF,17 橋本 早十 MF,13 藤田 祥史 FW,9 石原 直樹 FW
12557,11 玉田 圭司 FW,16 ケネディ FW,25 金崎 夢生 FW,8 マギヌン MF,14 吉村 圭司 MF,10 小川 佳純 MF,6 阿部 翔平 DF,5 増川 隆洋 DF,4 田中 マルクス闘莉王 DF,32 田中 隼磨 DF,1 楢﨑 正剛 GK,2,3,1 川島 永嗣 GK,19 森 勇介 DF,17 菊地 光将 DF,2 伊藤 宏樹 DF,8 小宮山 尊信 DF,20 稲本 潤一 MF,29 谷口 博之 MF,6 田坂 祐介 MF,7 黒津 勝 FW,34 レナチーニョ FW,9 鄭 大世 FW
12558,13 柳沢 敦 FW,10 ディエゴ FW,17 中村 太亮 MF,3 チエゴ MF,15 中山 博貴 MF,11 鈴木 慎吾 MF,19 森下 俊 DF,4 水本 裕貴 DF,5 郭 泰輝 DF,24 増嶋 竜也 DF,21 水谷 雄一 GK,1,1,21 曽ヶ端 準 GK,2 内田 篤人 DF,3 岩政 大樹 DF,19 伊野波 雅彦 DF,7 新井場 徹 DF,6 中田 浩二 MF,40 小笠原 満男 MF,8 野沢 拓也 MF,11 フェリペ ガブリエル MF,13 興梠 慎三 FW,18 マルキーニョス FW
12559,17 エジミウソン FW,11 田中 達也 FW,8 柏木 陽介 MF,10 ポンテ MF,3 細貝 萌 MF,22 阿部 勇樹 MF,35 宇賀神 友弥 DF,2 坪井 慶介 DF,6 山田 暢久 DF,14 平川 忠亮 DF,1 山岸 範宏 GK,1,0,20 権田 修一 GK,33 椋原 健太 DF,3 森重 真人 DF,6 今野 泰幸 DF,5 長友 佑都 DF,14 中村 北斗 MF,2 徳永 悠平 MF,22 羽生 直剛 MF,8 松下 年宏 MF,11 鈴木 達也 FW,13 平山 相太 FW
12560,9 アドリアーノ FW,7 乾 貴士 FW,8 香川 真司 MF,16 尾亦 弘友希 MF,10 マルチネス MF,6 アマラウ MF,20 高橋 大輔 MF,22 上本 大海 DF,3 茂庭 照幸 DF,2 羽田 憲司 DF,1 松井 謙弥 GK,1,1,1 藤ヶ谷 陽介 GK,21 加地 亮 DF,2 中澤 聡太 DF,4 高木 和道 DF,6 下平 匠 DF,27 橋本 英郎 MF,17 明神 智和 MF,7 遠藤 保仁 MF,10 二川 孝広 MF,9 ルーカス FW,18 チョ ジェジン FW
